EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4,Mode
0.29,0.07,0.09,0.15,0
0.31,0.07,0.12,0.15,0
0.33,0.07,0.1,0.15,0
0.27,0.07,0.08,0.15,0
0.39,0.07,0.08,0.15,0
1,0.09,0.68,0.66,1
1.01,0.08,0.7,0.54,1
0.81,0.07,0.48,0.74,1
0.86,0.08,0.63,0.61,1
0.74,0.08,0.44,0.63,1
0.29,0.07,0.22,0.25,0
0.24,0.07,0.12,0.18,0
0.3,0.07,0.12,0.18,0
0.22,0.07,0.16,0.16,0
0.24,0.07,0.11,0.18,0
1.01,0.11,0.77,0.86,2
1.48,0.12,1.08,1.13,2
1.47,0.19,1.12,1.17,2
1.14,0.18,0.73,1.16,2
0.82,0.11,0.56,0.99,2
0.36,0.08,0.18,0.54,0
0.32,0.07,0.09,0.46,0
0.32,0.07,0.09,0.36,0
0.23,0.07,0.09,0.24,0
0.24,0.07,0.1,0.35,0
0.81,0.08,0.74,1.26,3
0.83,0.13,0.63,1.6,3
0.99,0.14,1,1.74,3
0.71,0.11,0.46,1.46,3
0.88,0.11,0.66,1.35,3
0.26,0.1,0.2,0.5,0
0.28,0.07,0.09,0.43,0
0.26,0.07,0.09,0.25,0
0.33,0.07,0.11,0.18,0
0.24,0.07,0.25,0.15,0
0.59,0.08,0.39,0.74,4
0.53,0.08,0.36,0.66,4
0.56,0.09,0.32,0.78,4
0.67,0.08,0.37,0.67,4
0.85,0.1,0.41,0.9,4
0.35,0.07,0.18,0.58,0
0.23,0.07,0.09,0.29,0
0.25,0.32,0.12,0.22,0
0.27,0.07,0.1,0.22,0
0.29,0.07,0.14,0.19,0
1.22,0.08,0.66,0.82,1
1.38,0.08,0.71,0.66,1
1.26,0.08,0.57,0.78,1
0.86,0.07,0.51,0.58,1
0.68,0.07,0.44,0.44,1
0.32,0.07,0.28,0.55,0
0.33,0.07,0.08,0.21,0
0.26,0.07,0.1,0.18,0
0.26,0.07,0.12,0.18,0
0.23,0.07,0.15,0.17,0
1.16,0.14,1.18,1.16,2
1.48,0.11,1.35,0.92,2
1.21,0.13,0.86,1.16,2
0.93,0.08,0.75,0.87,2
1.03,0.09,0.75,0.83,2
0.35,0.12,0.21,0.78,0
0.3,0.07,0.12,0.25,0
0.29,0.07,0.1,0.15,0
0.29,0.07,0.14,0.16,0
0.22,0.07,0.08,0.16,0
1.04,0.13,0.9,1.27,3
0.79,0.14,0.69,1.62,3
0.68,0.14,0.54,1.18,3
0.62,0.15,0.46,1.29,3
0.7,0.15,0.46,1.16,3
0.27,0.07,0.14,0.21,0
0.26,0.32,0.1,0.23,0
0.24,0.07,0.09,0.18,0
0.25,0.07,0.08,0.18,0
0.27,0.07,0.09,0.2,0
0.88,0.13,0.61,0.93,4
0.84,0.13,0.54,0.8,4
0.66,0.11,0.4,1.13,4
0.59,0.08,0.36,0.55,4
0.49,0.07,0.32,0.75,4
0.25,0.08,0.17,0.69,4
0.29,0.07,0.16,0.35,0
0.32,0.07,0.14,0.23,0
0.34,0.07,0.15,0.17,0
0.28,0.07,0.15,0.2,0
0.79,0.07,0.77,0.76,1
1.31,0.08,0.77,0.75,1
0.76,0.07,0.61,0.58,1
0.85,0.07,0.54,0.48,1
0.62,0.07,0.39,0.52,1
0.32,0.08,0.2,0.43,0
0.28,0.07,0.15,0.22,0
0.39,0.07,0.1,0.31,0
0.29,0.07,0.17,0.21,0
0.29,0.07,0.1,0.22,0
0.31,0.07,0.16,0.32,0
1.55,0.19,1.2,1.36,2
1.05,0.09,0.88,0.92,2
0.73,0.1,0.66,0.81,2
0.82,0.1,0.62,0.84,2
