,0.07,0.10,0.24
0.21,0.07,0.13,0.25
0.45,0.07,0.15,0.63
0.51,0.19,0.15,0.59
0.28,0.07,0.10,0.34
EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.21,0.07,0.10,0.27
0.20,0.07,0.11,0.22
0.22,0.07,0.11,0.27
0.18,0.07,0.09,0.28
0.17,0.07,0.09,0.28
1.22,0.08,0.43,0.78
1.25,0.07,0.42,0.70
1.21,0.07,0.44,0.60
0.97,0.07,0.39,0.54
0.85,0.07,0.31,0.51
0.61,0.18,0.40,0.60
0.28,0.07,0.13,0.24
0.22,0.07,0.10,0.22
0.21,0.07,0.10,0.27
0.22,0.07,0.18,0.28
1.57,0.15,0.84,1.18
0.83,0.08,0.64,1.46
0.86,0.08,0.75,1.62
0.96,0.09,0.68,1.25
0.81,0.08,0.57,1.31
0.33,0.07,0.15,0.52
0.27,0.07,0.14,0.22
0.25,0.07,0.11,0.26
0.20,0.07,0.10,0.25
0.20,0.07,0.11,0.22
0.94,0.10,0.54,0.80
1.22,0.16,0.57,0.86
2.20,0.11,0.72,0.89
0.89,0.10,0.91,1.07
1.02,0.12,0.81,0.90
0.50,0.08,0.29,0.85
0.38,0.07,0.17,0.26
0.25,0.07,0.16,0.23
0.30,0.07,0.16,0.29
0.28,0.07,0.11,0.32
0.65,0.09,0.31,0.93
0.61,0.07,0.22,0.87
0.59,0.07,0.27,0.83
0.49,0.08,0.26,0.86
0.71,0.08,0.32,0.95
0.43,0.08,0.22,0.95
0.27,0.07,0.29,0.26
0.29,0.07,0.15,0.22
0.35,0.07,0.14,0.22
0.23,0.07,0.11,0.23
0.32,0.07,0.14,0.27
1.01,0.07,0.39,0.51
0.69,0.07,0.33,0.47
0.74,0.07,0.31,0.46
0.73,0.07,0.25,0.43
0.54,0.07,0.28,0.44
0.45,0.08,0.22,0.40
0.22,0.07,0.18,0.29
0.21,0.07,0.09,0.49
0.18,0.07,0.11,0.31
0.18,0.07,0.15,0.29
1.23,0.09,0.98,1.40
1.74,0.08,1.22,1.40
1.09,0.09,0.87,1.57
0.87,0.08,0.82,1.59
0.94,0.07,0.74,1.33
0.61,0.08,0.30,0.77
0.26,0.07,0.12,0.28
0.20,0.07,0.22,0.26
0.27,0.07,0.11,0.27
0.21,0.07,0.20,0.23
1.63,0.36,0.89,1.05
1.90,0.25,0.80,1.18
1.09,0.23,0.60,0.96
0.90,0.11,0.34,0.84
1.02,0.26,0.56,1.22
0.58,0.14,0.38,0.88
0.34,0.07,0.13,0.24
0.39,0.07,0.15,0.30
0.42,0.07,0.15,0.25
0.37,0.07,0.15,0.23
0.75,0.11,0.26,1.53
0.64,0.12,0.28,1.30
0.47,0.08,0.21,1.04
0.50,0.07,0.20,0.95
0.52,0.15,0.24,1.10
0.47,0.07,0.26,0.70
0.33,0.07,0.12,0.23
0.27,0.07,0.14,0.26
0.24,0.07,0.11,0.22
0.23,0.07,0.11,0.24
0.83,0.61,0.38,0.65
0.88,0.84,0.45,0.84
2.09,0.17,0.80,1.22
1.80,0.12,0.80,1.08
1.28,0.12,0.63,1.22
0.54,0.10,0.33,0.53
0.28,0.07,0.19,0.27
0.52,0.07,0.20,0.24
0.36,0.07,0.18,0.24
