7,0.09,0.28
0.17,0.07,0.09,0.22
0.16,0.07,0.09,0.24
0.19,0.07,0.09,0.23
0.18,0.07,0.09,0.23
0.16,0.07,0.13,0.30
EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.25,0.80,0.10,0.27
0.18,0.07,0.09,0.24
0.16,0.07,0.09,0.26
0.16,0.07,0.23,0.26
0.17,0.07,0.19,0.27
1.74,0.19,0.52,0.86
1.10,0.08,0.52,0.89
0.94,0.07,0.35,0.59
1.00,0.09,0.38,0.77
1.07,0.29,0.43,0.83
0.33,0.13,0.23,0.41
0.21,0.07,0.13,0.43
0.18,0.07,0.10,0.42
0.17,0.07,0.10,0.51
0.17,0.07,0.10,0.39
0.96,0.09,0.52,1.36
1.97,0.07,0.83,1.70
1.67,0.11,0.76,1.88
1.88,0.10,0.84,1.53
3.16,0.15,1.19,2.49
0.44,0.08,0.20,0.73
0.27,0.07,0.11,0.63
0.22,0.13,0.11,0.22
0.19,0.07,0.10,0.23
0.20,0.07,0.13,0.22
1.17,0.15,0.52,1.03
1.07,0.18,0.47,0.97
1.05,0.16,0.52,0.79
0.87,0.09,0.38,0.97
1.10,0.11,0.63,1.16
0.50,0.09,0.25,0.56
0.28,0.07,0.12,0.28
0.29,0.07,0.11,0.23
0.18,0.07,0.10,0.30
0.16,0.22,0.09,0.31
0.22,0.13,0.12,0.23
0.30,0.07,0.18,0.31
0.54,0.21,0.26,0.62
0.57,0.10,0.29,1.06
0.57,0.08,0.28,0.86
0.56,0.09,0.35,1.02
0.73,0.11,0.44,1.11
0.38,0.09,0.19,0.86
0.19,0.07,0.11,0.23
0.20,0.07,0.09,0.22
0.21,0.07,0.12,0.24
0.19,0.07,0.10,0.25
0.90,0.07,0.39,0.67
1.63,0.11,0.65,0.67
1.29,0.08,0.67,0.51
0.92,0.07,0.36,0.56
1.19,0.08,0.53,0.72
0.35,0.07,0.30,0.41
0.20,0.07,0.16,0.43
0.19,0.07,0.31,0.39
0.17,0.07,0.16,0.39
0.19,0.07,0.09,0.49
1.45,0.58,0.58,1.52
2.24,0.13,0.74,1.68
1.91,0.21,0.80,1.53
1.21,0.35,0.46,1.16
0.85,0.13,0.47,1.21
1.09,0.09,0.58,1.29
0.26,0.07,0.11,0.25
0.19,0.07,0.09,0.23
0.17,0.07,0.10,0.27
0.16,0.07,0.09,0.33
1.17,0.33,0.39,0.63
1.60,0.55,0.81,0.94
1.21,0.17,0.46,0.90
1.17,0.29,0.46,1.09
1.08,0.23,0.46,1.14
0.94,0.15,0.50,1.09
0.34,0.07,0.16,0.45
0.35,0.07,0.15,0.23
0.26,0.09,0.12,0.28
0.25,0.07,0.10,0.22
0.38,0.07,0.12,0.32
1.10,0.07,0.35,1.14
0.90,0.09,0.33,0.93
0.64,1.11,0.24,0.83
0.62,0.10,0.38,0.97
0.48,0.11,0.28,0.91
0.24,0.07,0.24,0.26
0.18,0.07,0.10,0.25
0.20,0.08,0.09,0.23
0.17,0.07,0.10,0.23
0.20,0.07,0.09,0.22
1.02,0.07,0.34,0.59
1.53,0.08,0.47,0.53
1.30,0.08,0.48,0.73
0.85,0.08,0.40,0.55
0.81,0.09,0.37,0.71
0.65,0.07,0.30,0.52
